id,type of property,subtype of property,locality,province,postalCode,price,type of sale,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10679324,HOUSE,HOUSE,Seraing,Liège,4100,159000,residential_sale,3,14,installed,False,False,1,64,1,106,87,145,2,False,just_renovated
10679325,HOUSE,HOUSE,Vise,Liège,4600,229000,residential_sale,3,19,installed,False,False,1,136,0,0,145,184,3,False,good
10679351,HOUSE,VILLA,Vilvoorde,Flemish Brabant,1800,430000,residential_sale,3,17,semi_equipped,False,False,1,40,1,400,132,623,3,False,good
10679090,HOUSE,HOUSE,Oudenaarde,East Flanders,9700,439000,residential_sale,2,21,hyper_equipped,False,False,1,25,1,420,161,680,4,False,as_new
10678835,HOUSE,HOUSE,Dilbeek,Flemish Brabant,1700,529000,residential_sale,4,29,installed,0,False,1,0,0,0,315,8002,3,False,to_renovate
10679053,HOUSE,HOUSE,Gent,East Flanders,9000,785000,residential_sale,4,46,semi_equipped,False,False,1,33,1,93,266,262,2,False,to_renovate
10675619,HOUSE,HOUSE,Ronse,East Flanders,9600,135000,residential_sale,5,18,installed,False,False,0,0,0,0,162,60,2,False,good
10677619,HOUSE,HOUSE,Liege,Liège,4031,179000,residential_sale,3,29,installed,False,False,1,16,1,43,137,145,2,False,good
10673624,HOUSE,VILLA,Braine-l'Alleud Ophain-Bois-Seigneur-Isaac,Walloon Brabant,1421,529000,residential_sale,3,59,installed,False,False,1,20,1,800,165,1200,4,False,to_be_done_up
10673197,HOUSE,TOWN_HOUSE,Watermael-Boitsfort,Brussels,1170,749000,residential_sale,5,43,installed,False,False,1,14,1,152,205,220,2,False,to_be_done_up
10673001,HOUSE,VILLA,Zaventem,Flemish Brabant,1933,755000,residential_sale,5,60,hyper_equipped,0,False,1,33,1,300,241,500,4,False,good
10671514,HOUSE,MIXED_USE_BUILDING,Ronse,East Flanders,9600,295000,residential_sale,5,23,installed,False,False,0,0,0,0,339,160,2,False,to_be_done_up
10671574,HOUSE,HOUSE,Antwerp,Antwerp,2018,910000,residential_sale,5,0,usa_hyper_equipped,0,False,1,18,1,131,310,242,2,0,good
10678894,HOUSE,HOUSE,Schaerbeek,Brussels,1030,595000,residential_sale,4,26,usa_hyper_equipped,False,False,1,0,1,30,175,1,2,False,as_new
10678805,HOUSE,MIXED_USE_BUILDING,Saint-Gilles,Brussels,1060,795000,residential_sale,6,0,installed,False,False,0,0,1,20,300,250,2,False,good
10668977,HOUSE,HOUSE,Seraing,Liège,4100,149000,residential_sale,2,14,semi_equipped,False,False,1,0,1,25,105,105,2,False,good
10669506,HOUSE,HOUSE,Anderlecht,Brussels,1070,399000,residential_sale,4,0,semi_equipped,False,False,1,10,1,140,170,210,2,False,to_be_done_up
10669505,HOUSE,VILLA,Wavre,Walloon Brabant,1300,435000,residential_sale,4,57,usa_installed,False,False,1,30,1,526,185,748,4,False,good
10669507,HOUSE,EXCEPTIONAL_PROPERTY,Anderlecht,Brussels,1070,960000,residential_sale,6,70,usa_hyper_equipped,False,False,1,40,1,290,400,1090,3,False,as_new
10678123,HOUSE,HOUSE,Bouge,Namur,5004,210000,residential_sale,2,45,installed,0,1,0,0,1,85,83,166,3,0,to_be_done_up
10677787,HOUSE,MIXED_USE_BUILDING,Andenne,Namur,5300,245000,residential_sale,4,24,installed,0,1,1,40,0,0,240,214,2,0,to_be_done_up
10576366,HOUSE,HOUSE,Braine-l'Alleud,Walloon Brabant,1420,260000,residential_sale,2,24,installed,0,False,1,20,1,55,130,155,2,0,good
10675317,HOUSE,HOUSE,Sprimont,Liège,4140,349000,residential_sale,4,17,installed,False,False,1,30,1,120,175,311,3,False,to_be_done_up
10678111,HOUSE,HOUSE,ZERKEGEM,West Flanders,8490,440000,residential_sale,3,0,installed,0,1,1,0,0,0,161,1846,4,0,good
10675584,HOUSE,HOUSE,Ottignies-Louvain-la-Neuve Céroux-Mousty,Walloon Brabant,1341,465000,residential_sale,3,20,semi_equipped,False,False,0,0,1,800,230,837,4,False,good
10677091,HOUSE,VILLA,Nieuwpoort,West Flanders,8620,520000,residential_sale,4,0,installed,False,False,1,40,1,400,221,753,4,False,to_be_done_up
10675314,HOUSE,HOUSE,Etterbeek,Brussels,1040,595000,residential_sale,3,32,installed,False,False,1,0,0,0,150,140,3,False,to_renovate
10676873,HOUSE,HOUSE,Tervuren,Flemish Brabant,3080,935000,residential_sale,5,0,installed,0,1,1,28,1,0,295,1362,4,0,to_be_done_up
10666853,HOUSE,HOUSE,Saint-Nicolas,Liège,4420,319000,residential_sale,3,29,usa_installed,False,False,1,34,1,82,194,197,2,False,as_new
10667297,HOUSE,HOUSE,Gent,East Flanders,9000,319000,residential_sale,3,21,usa_semi_equipped,False,False,0,0,1,8,154,55,2,False,to_be_done_up
